epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4154.69,0.36307,0.71732,0.07357,0.33212,0.91204,0.90455,0.91455,0.95484,0.93986,0.8896,0.8973,0.93047,0.76739,0.23108,0.81263,0.03846,0.4466,0.86331,0.000429253,0.000429253,0.000429253
77,4208.54,0.36955,0.7143,0.07338,0.34249,0.91745,0.90877,0.91476,0.95608,0.94204,0.89233,0.89843,0.93318,0.7658,0.23095,0.81302,0.0388,0.44344,0.86199,0.000412749,0.000412749,0.000412749
78,4264.17,0.35589,0.69235,0.07076,0.32078,0.90743,0.9116,0.92257,0.95622,0.94206,0.89521,0.90615,0.93274,0.77339,0.22697,0.80936,0.04,0.43676,0.85669,0.000396246,0.000396246,0.000396246
79,4317.31,0.35908,0.69744,0.07094,0.3286,0.90968,0.89906,0.9291,0.95394,0.9391,0.88621,0.90641,0.92944,0.77034,0.22696,0.79751,0.03903,0.44835,0.8568,0.000379743,0.000379743,0.000379743
80,4370.8,0.36326,0.70547,0.07219,0.33109,0.91313,0.88572,0.9417,0.9539,0.93768,0.87014,0.92728,0.93259,0.77054,0.22914,0.80002,0.03616,0.46515,0.85935,0.000363239,0.000363239,0.000363239
81,4427.89,0.35904,0.67479,0.07065,0.32531,0.91001,0.90815,0.92518,0.94986,0.9341,0.89752,0.90708,0.93108,0.76744,0.22988,0.7904,0.03827,0.43835,0.85832,0.000346736,0.000346736,0.000346736
82,4481.45,0.3576,0.68015,0.07197,0.3287,0.90773,0.9083,0.92213,0.95233,0.93882,0.89399,0.9076,0.9324,0.77203,0.22385,0.78248,0.03926,0.4448,0.85448,0.000330233,0.000330233,0.000330233
83,4534.97,0.36678,0.68709,0.07492,0.33894,0.91809,0.90965,0.92365,0.95124,0.93639,0.89455,0.90641,0.92954,0.76478,0.22634,0.79431,0.03883,0.43956,0.85599,0.000313729,0.000313729,0.000313729
84,4595.16,0.35632,0.66963,0.07211,0.32602,0.91046,0.90596,0.91101,0.95071,0.93514,0.89573,0.89671,0.92879,0.76774,0.22676,0.78234,0.03821,0.45863,0.8576,0.000297226,0.000297226,0.000297226
85,4657.14,0.35598,0.6693,0.0728,0.32476,0.90941,0.90339,0.91616,0.94984,0.93492,0.89544,0.90081,0.9281,0.76568,0.22563,0.78093,0.03782,0.45294,0.85732,0.000280723,0.000280723,0.000280723
